Z/Zo & log(n_Hcm-3) & log(U) & SIII19_SIII33 & OIII52_OIII88 & NII122_NII205 & SIV11_NeII16 & NeII13_NeIII16 & OIII52_NIII57 & OIII88_NIII57 & OIII52_NII122 & OIII52_NII205 & OIII88_NII122 & OIII88_NII205 
1.00 & 3 & --2.0 & 0.07 & 0.55 & 0.82 & 0.20 & --0.32 & 0.74 & 0.19 & 1.90 & 2.72 & 1.35 & 2.17 \\
1.00 & 3 & --1.8 & 0.10 & 0.58 & 0.83 & 0.21 & --0.29 & 0.78 & 0.20 & 1.91 & 2.74 & 1.33 & 2.16 \\
1.00 & 3 & --1.6 & 0.14 & 0.62 & 0.86 & 0.18 & --0.24 & 0.82 & 0.21 & 1.91 & 2.76 & 1.29 & 2.14 \\
1.00 & 4 & --3.0 & 0.43 & 0.89 & 0.96 & --0.70 & --0.07 & 0.88 & --0.02 & 1.63 & 2.59 & 0.74 & 1.70 \\
1.00 & 4 & --2.8 & 0.45 & 0.90 & 0.96 & --0.47 & --0.06 & 0.87 & --0.02 & 1.69 & 2.65 & 0.79 & 1.75 \\
1.00 & 4 & --2.6 & 0.48 & 0.90 & 0.96 & --0.29 & --0.04 & 0.87 & --0.03 & 1.72 & 2.68 & 0.82 & 1.78 \\
1.00 & 4 & --2.4 & 0.50 & 0.91 & 0.96 & --0.15 & --0.02 & 0.88 & --0.03 & 1.73 & 2.69 & 0.83 & 1.79 \\
1.00 & 4 & --2.2 & 0.53 & 0.91 & 0.96 & --0.05 & --0.00 & 0.89 & --0.02 & 1.75 & 2.71 & 0.84 & 1.80 \\
1.00 & 4 & --2.0 & 0.57 & 0.91 & 0.96 & --0.01 & 0.02 & 0.91 & 0.00 & 1.77 & 2.74 & 0.86 & 1.82 \\
1.00 & 4 & --1.8 & 0.60 & 0.92 & 0.97 & --0.03 & 0.06 & 0.94 & 0.02 & 1.79 & 2.76 & 0.87 & 1.84 \\
1.00 & 4 & --1.6 & 0.65 & 0.93 & 0.97 & --0.08 & 0.11 & 0.98 & 0.05 & 1.80 & 2.78 & 0.87 & 1.85 \\
1.00 & 5 & --3.0 & 0.83 & 1.00 & 0.99 & --1.16 & 0.37 & 0.91 & --0.09 & 1.41 & 2.40 & 0.41 & 1.40 \\
1.00 & 5 & --2.8 & 0.85 & 1.00 & 0.99 & --0.93 & 0.35 & 0.91 & --0.09 & 1.47 & 2.46 & 0.47 & 1.46 \\
1.00 & 5 & --2.6 & 0.87 & 1.00 & 0.99 & --0.74 & 0.34 & 0.91 & --0.09 & 1.51 & 2.50 & 0.51 & 1.50 \\
1.00 & 5 & --2.4 & 0.90 & 1.00 & 0.99 & --0.59 & 0.34 & 0.91 & --0.09 & 1.56 & 2.55 & 0.56 & 1.55 \\
1.00 & 5 & --2.2 & 0.91 & 1.00 & 0.99 & --0.49 & 0.35 & 0.93 & --0.07 & 1.61 & 2.59 & 0.60 & 1.59 \\
1.00 & 5 & --2.0 & 0.93 & 1.00 & 0.99 & --0.46 & 0.38 & 0.95 & --0.05 & 1.66 & 2.65 & 0.65 & 1.64 \\
1.00 & 5 & --1.8 & 0.95 & 1.00 & 0.99 & --0.48 & 0.41 & 0.99 & --0.02 & 1.70 & 2.70 & 0.70 & 1.69 \\
1.00 & 5 & --1.6 & 0.94 & 1.00 & 0.99 & --0.56 & 0.63 & 1.02 & 0.01 & 1.74 & 2.73 & 0.73 & 1.72 \\
1.00 & 6 & --3.0 & 1.01 & 1.01 & 0.99 & --1.53 & 0.88 & 0.91 & --0.10 & 1.31 & 2.30 & 0.30 & 1.29 \\
1.00 & 6 & --2.8 & 1.02 & 1.01 & 0.99 & --1.28 & 0.86 & 0.91 & --0.10 & 1.39 & 2.38 & 0.38 & 1.37 \\
1.00 & 6 & --2.6 & 1.02 & 1.01 & 0.99 & --1.09 & 0.85 & 0.91 & --0.10 & 1.46 & 2.45 & 0.45 & 1.44 \\
1.00 & 6 & --2.4 & 1.03 & 1.01 & 0.99 & --0.94 & 0.82 & 0.92 & --0.09 & 1.53 & 2.52 & 0.51 & 1.51 \\
1.00 & 6 & --2.2 & 1.03 & 1.01 & 0.99 & --0.85 & 0.80 & 0.94 & --0.07 & 1.60 & 2.59 & 0.58 & 1.58 \\
1.00 & 6 & --2.0 & 1.03 & 1.01 & 0.99 & --0.82 & 0.77 & 0.97 & --0.04 & 1.66 & 2.66 & 0.65 & 1.64 \\
1.00 & 6 & --1.8 & 1.03 & 1.01 & 0.99 & --0.83 & 0.74 & 1.01 & --0.01 & 1.72 & 2.72 & 0.71 & 1.70 \\
1.00 & 6 & --1.6 & 1.03 & 1.01 & 0.99 & --0.88 & 0.72 & 1.04 & 0.03 & 1.77 & 2.76 & 0.76 & 1.75 \\
2.00 & 1 & --3.0 & --0.41 & --0.23 & 0.01 & --0.61 & --0.74 & --0.13 & 0.10 & 0.45 & 0.46 & 0.68 & 0.69 \\
2.00 & 1 & --2.8 & --0.41 & --0.22 & 0.02 & --0.35 & --0.78 & --0.14 & 0.08 & 0.63 & 0.65 & 0.85 & 0.88 \\
2.00 & 1 & --2.6 & --0.40 & --0.22 & 0.04 & --0.14 & --0.80 & --0.15 & 0.07 & 0.78 & 0.82 & 0.99 & 1.03 \\
2.00 & 1 & --2.4 & --0.40 & --0.20 & 0.05 & 0.02 & --0.80 & --0.14 & 0.06 & 0.90 & 0.95 & 1.11 & 1.16 \\
2.00 & 1 & --2.2 & --0.40 & --0.19 & 0.07 & 0.12 & --0.79 & --0.13 & 0.06 & 1.00 & 1.07 & 1.19 & 1.26 \\
2.00 & 1 & --2.0 & --0.39 & --0.17 & 0.10 & 0.19 & --0.76 & --0.12 & 0.06 & 1.07 & 1.17 & 1.24 & 1.34 \\
2.00 & 1 & --1.8 & --0.39 & --0.15 & 0.13 & 0.21 & --0.74 & --0.10 & 0.06 & 1.13 & 1.26 & 1.28 & 1.41 \\
2.00 & 1 & --1.6 & --0.38 & --0.12 & 0.16 & 0.21 & --0.71 & --0.07 & 0.05 & 1.17 & 1.33 & 1.29 & 1.46 \\
2.00 & 2 & --3.0 & --0.32 & --0.03 & 0.47 & --0.59 & --0.63 & --0.01 & 0.01 & 0.67 & 1.15 & 0.70 & 1.17 \\
2.00 & 2 & --2.8 & --0.31 & --0.01 & 0.48 & --0.33 & --0.65 & --0.02 & --0.01 & 0.86 & 1.34 & 0.87 & 1.35 \\
2.00 & 2 & --2.6 & --0.30 & 0.02 & 0.48 & --0.12 & --0.66 & --0.01 & --0.03 & 1.02 & 1.50 & 1.00 & 1.48 \\
2.00 & 2 & --2.4 & --0.29 & 0.05 & 0.49 & 0.03 & --0.66 & 0.00 & --0.05 & 1.16 & 1.64 & 1.10 & 1.59 \\
2.00 & 2 & --2.2 & --0.27 & 0.09 & 0.50 & 0.14 & --0.64 & 0.03 & --0.07 & 1.26 & 1.76 & 1.17 & 1.67 \\
2.00 & 2 & --2.0 & --0.25 & 0.14 & 0.52 & 0.20 & --0.63 & 0.06 & --0.08 & 1.35 & 1.87 & 1.22 & 1.74 \\
2.00 & 2 & --1.8 & --0.23 & 0.18 & 0.55 & 0.22 & --0.61 & 0.09 & --0.09 & 1.42 & 1.97 & 1.24 & 1.79 \\
2.00 & 2 & --1.6 & --0.19 & 0.23 & 0.59 & 0.22 & --0.58 & 0.13 & --0.10 & 1.47 & 2.06 & 1.24 & 1.83 \\
2.00 & 3 & --3.0 & 0.06 & 0.50 & 0.86 & --0.58 & --0.49 & 0.28 & --0.22 & 1.18 & 2.04 & 0.68 & 1.54 \\
2.00 & 3 & --2.8 & 0.06 & 0.52 & 0.85 & --0.33 & --0.49 & 0.27 & --0.24 & 1.35 & 2.20 & 0.83 & 1.68 \\
2.00 & 3 & --2.6 & 0.08 & 0.53 & 0.85 & --0.13 & --0.48 & 0.27 & --0.26 & 1.46 & 2.31 & 0.93 & 1.78 \\
2.00 & 3 & --2.4 & 0.10 & 0.55 & 0.85 & 0.02 & --0.47 & 0.28 & --0.27 & 1.55 & 2.39 & 0.99 & 1.84 \\
2.00 & 3 & --2.2 & 0.12 & 0.58 & 0.85 & 0.12 & --0.46 & 0.30 & --0.28 & 1.61 & 2.45 & 1.03 & 1.88 \\
2.00 & 3 & --2.0 & 0.16 & 0.60 & 0.86 & 0.17 & --0.44 & 0.32 & --0.29 & 1.64 & 2.50 & 1.04 & 1.90 \\
2.00 & 3 & --1.8 & 0.20 & 0.63 & 0.87 & 0.19 & --0.42 & 0.34 & --0.29 & 1.67 & 2.54 & 1.03 & 1.90 \\
2.00 & 3 & --1.6 & 0.25 & 0.67 & 0.89 & 0.17 & --0.38 & 0.38 & --0.29 & 1.67 & 2.56 & 1.00 & 1.89 \\
2.00 & 4 & --3.0 & 0.49 & 0.91 & 0.97 & --0.76 & --0.15 & 0.45 & --0.45 & 1.28 & 2.25 & 0.37 & 1.34 \\
2.00 & 4 & --2.8 & 0.51 & 0.91 & 0.97 & --0.53 & --0.16 & 0.44 & --0.47 & 1.38 & 2.34 & 0.47 & 1.44 \\
2.00 & 4 & --2.6 & 0.54 & 0.91 & 0.97 & --0.34 & --0.16 & 0.44 & --0.47 & 1.44 & 2.41 & 0.53 & 1.49 \\
2.00 & 4 & --2.4 & 0.58 & 0.92 & 0.97 & --0.20 & --0.16 & 0.44 & --0.48 & 1.48 & 2.45 & 0.56 & 1.53 \\
2.00 & 4 & --2.2 & 0.61 & 0.92 & 0.97 & --0.10 & --0.16 & 0.45 & --0.48 & 1.52 & 2.49 & 0.60 & 1.56 \\
2.00 & 4 & --2.0 & 0.64 & 0.93 & 0.97 & --0.05 & --0.14 & 0.46 & --0.47 & 1.55 & 2.52 & 0.62 & 1.59 \\
2.00 & 4 & --1.8 & 0.68 & 0.93 & 0.97 & --0.05 & --0.11 & 0.48 & --0.45 & 1.57 & 2.54 & 0.64 & 1.61 \\
2.00 & 4 & --1.6 & 0.72 & 0.94 & 0.97 & --0.10 & --0.06 & 0.50 & --0.44 & 1.58 & 2.56 & 0.64 & 1.62 \\
2.00 & 5 & --3.0 & 0.85 & 1.00 & 0.99 & --1.21 & 0.24 & 0.48 & --0.52 & 1.12 & 2.11 & 0.12 & 1.11 \\
2.00 & 5 & --2.8 & 0.88 & 1.00 & 0.99 & --0.97 & 0.22 & 0.47 & --0.53 & 1.20 & 2.19 & 0.20 & 1.19 \\
2.00 & 5 & --2.6 & 0.90 & 1.00 & 0.99 & --0.78 & 0.21 & 0.47 & --0.53 & 1.27 & 2.26 & 0.27 & 1.26 \\
2.00 & 5 & --2.4 & 0.92 & 1.00 & 0.99 & --0.63 & 0.21 & 0.47 & --0.53 & 1.33 & 2.31 & 0.33 & 1.31 \\
2.00 & 5 & --2.2 & 0.94 & 1.00 & 0.99 & --0.52 & 0.22 & 0.48 & --0.52 & 1.38 & 2.37 & 0.38 & 1.37 \\
2.00 & 5 & --2.0 & 0.95 & 1.00 & 0.99 & --0.46 & 0.24 & 0.49 & --0.51 & 1.43 & 2.42 & 0.43 & 1.42 \\
2.00 & 5 & --1.8 & 0.97 & 1.00 & 0.99 & --0.46 & 0.29 & 0.51 & --0.49 & 1.48 & 2.47 & 0.48 & 1.47 \\
2.00 & 5 & --1.6 & 0.97 & 1.00 & 0.99 & --0.51 & 0.45 & 0.53 & --0.47 & 1.50 & 2.49 & 0.50 & 1.49 \\
2.00 & 6 & --3.0 & 1.02 & 1.01 & 0.99 & --1.49 & 0.67 & 0.47 & --0.54 & 1.04 & 2.04 & 0.03 & 1.02 \\
2.00 & 6 & --2.8 & 1.02 & 1.01 & 0.99 & --1.24 & 0.65 & 0.47 & --0.54 & 1.14 & 2.13 & 0.13 & 1.12 \\
2.00 & 6 & --2.6 & 1.03 & 1.01 & 0.99 & --1.04 & 0.64 & 0.47 & --0.54 & 1.22 & 2.21 & 0.21 & 1.20 \\
2.00 & 6 & --2.4 & 1.03 & 1.01 & 0.99 & --0.89 & 0.65 & 0.48 & --0.54 & 1.29 & 2.29 & 0.28 & 1.27 \\
2.00 & 6 & --2.2 & 1.03 & 1.01 & 0.99 & --0.79 & 0.64 & 0.49 & --0.52 & 1.37 & 2.36 & 0.35 & 1.35 \\
2.00 & 6 & --2.0 & 1.03 & 1.01 & 0.99 & --0.74 & 0.62 & 0.51 & --0.50 & 1.43 & 2.42 & 0.42 & 1.41 \\
2.00 & 6 & --1.8 & 1.04 & 1.01 & 0.99 & --0.74 & 0.61 & 0.53 & --0.48 & 1.49 & 2.48 & 0.48 & 1.47 \\
2.00 & 6 & --1.6 & 1.04 & 1.01 & 0.99 & --0.77 & 0.61 & 0.55 & --0.46 & 1.53 & 2.52 & 0.52 & 1.51 \\
